曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
金,"1","応用数理概論","大本　亨／荻田　武史／柏木　雅英／久藤　衡介／清水　泰隆／高橋　大輔／豊泉　洋／平田　秋彦／丸野　健一／三枝崎　剛／村松　純／劉　言","",2,"spring,fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012007012026260201200726&pLng=jp","1．各教員が２回講義する．\n2．各教員はレポート課題を１題出す．\n3．前期と後期のそれぞれの学期末で，出された課題のうち２題を選んで回答し提出する．\n　（前期末に，前期で出された課題のうち２題を選んで回答・提出する．さらに後期末に，後期に出された課題のうち２題を選んで回答・提出する）\n4．授業には毎回必ず出席する（出席が取られます）"
月,"2","常微分方程式入門","丸野　健一","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012004012026260201200426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n90％\n\n試験\nレポート:\n\n10％\n\nレポート"
金,"4","応用数理演習Ａ","大本　亨","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012006012026260201200626&pLng=jp","複数回のテスト・レポート（80%）および平常点（20%）を総合的に判断する．"
火,"2","代数学基礎Ａ","三枝崎　剛","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012009012026260201200926&pLng=jp","試験，演習，課題，レポート１００％"
木,"2","集合と位相入門Ａ","大本　亨","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012010012026260201201026&pLng=jp","平常点（30%）および期末試験（70%）を総合的に判断する．"
水,"5","複素関数論入門","高橋　大輔","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012012012026260201201226&pLng=jp","教場の理解度確認テストにより成績評価を行う．"
月,"3","確率と統計の基礎","劉　言","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012013012026260201201326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n40％\n\n教場試験の結果に基づき評価する。\nレポート:\n\n40％\n\n課題レポートの出来に基づき評価する。\n平常点評価:\n\n20％\n\n出席、課題に取り組む姿勢、工夫などで評価する。"
火,"1","プログラミング基礎Ａ","柏木　雅英","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012014012026260201201426&pLng=jp","出席、小テスト、レポート、試験を総合して評価する。"
火,"2","回路理論","関根　晃太","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013006012026260201300626&pLng=jp","講義の際に出題する演習問題，実験のまとめレポート，出席点の総合点とする．"
木,"2","集合と位相入門Ｂ","大本　亨","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012011012026260201201126&pLng=jp","前半の確認テスト（50%）および後半のレポート（50%）を総合的に判断する．"
火,"3","応用数理演習B","劉　言","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602012015012026260201201526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n50％\n\n演習問題のレポート．\n平常点評価:\n\n50％\n\n発表時の態度や論理などを重視．"
水,"3,4","応用数理実験","柏木　雅英／平田　秋彦／山本　知之","",3,"spring",1,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013002012026260201300226&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n\n出席・レポート\n平常点評価:\n\n\n出席・レポート"
水,"2","情報理論","村松　純","",3,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013007012026260201300726&pLng=jp","レポートと教場試験により総合的に評価する。"
火,"4","応用数理演習Ｃ","高橋　大輔／平田　秋彦","",3,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602013010012026260201301026&pLng=jp","小テストもしくはレポートにより成績評価を行う予定である．"
月,"","応用数理講究A","","",4,"",2,"専門必修","",""
月,"","応用数理講究B","","",4,"",2,"専門必修","",""
月,"3","ベクトル解析と幾何","米田　元","",2,"fall",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602022001012026260202200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n試験の点数\n平常点評価:\n\n50％\n\n課題の提出"
火,"2","代数学基礎Ｂ","三枝崎　剛","",2,"fall",2,"選択必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602032001012026260203200126&pLng=jp","試験，演習，課題，レポート１００％"
