曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"3,4","情報理工学プログラミング基礎","田中　久美子","",2,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012001012026260301200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n40％\n\n毎回授業開始時に小テストを行う。テスト提出をもって出席とする。\nレポート:\n\n60％\n\n教場からの課題提出を求める。\n時間外に自学自習を行い課題提出を行うことが求められる。\n\nその他:\n\n\n小テストは、授業開始時間に所定の時間以外は行わない。\n欠席すると、小テストならびに、教場からの課題提出はできない。\n遅刻の場合も、小テストの遅延実施は行わない。\n\n\n成績は、全受講者の中で相対的かつ公平に決める。\n第14回のプログラミングコンテストで優秀な成績を上げた場合には、成績付与時に加点する。"
水,"4","情報数学Ａ","石川　博","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012002012026260301200226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n第14回に理解度確認のための筆記試験を教室にて実施する。\n平常点評価:\n\n20％\n\n第1回～第13回にWaseda Moodle上でオンライン小テストを実施する。"
木,"2","回路理論","森田　逸郎","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012003012026260701200226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n第7週および第14週の授業時間中に試験（資料持込可）を実施し、理解度の確認を行う。（試験の解説も同時間内に行う。）\n（中間：35%、期末：35%）\n平常点評価:\n\n30％\n\n各授業の理解度を確認するために行う演習により評価する。"
火,"1","論理回路","小川　哲司／菅原　真司","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012004012026260701200426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n理解度確認を２回，教場にて実施する。（小川担当分で３５％、菅原担当で３５％）\nレポート:\n\n30％\n\n理解度確認日を除く全ての講義において課題（予習確認として個人で取り組む Waseda Moodle 上でのオンライン小テスト，およびグループで取り組む授業内レポート課題）を課す．（小川担当分で１５％，菅原担当で１５％）"
月,"1","アルゴリズムとデータ構造Ａ","佐古　和恵／山本　暖","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012011012026260301201126&pLng=jp","試験　　　　　70％　前半35％，後半35％\n平常点評価：　30%　小テスト，プログラミング課題"
木,"3,4","情報理工学実験Ａ","石川　博／内田　真人／小川　哲司／笠井　裕之／笠原　博徳／甲藤　二郎／亀山　渉／河原　大輔／木村　啓二／小林　哲則／酒井　哲也／佐古　和恵／嶋本　薫／清水　佳奈／シモセラ　エドガー／菅原　俊治／田中　久美子／寺内　多智弘／戸川　望／中里　秀則／中島　達夫／前原　文明／森　達哉／森田　逸郎／山名　早人／鷲崎　弘宜／渡辺　裕","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012009022026260301200926&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n実験内容及び結果が論理的にまとめられていること。"
月,"3","コンピュータアーキテクチャＡ","笠原　博徳／木村　啓二","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012005012026260301200526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n試験は講義内容の理解度に応じて評価する．理解度の評価は解の導出を適切に説明できていることを重視する．\nレポート:\n\n25％\n\n実習内容と結果を適切に説明できていれば基準点とし，さらに独自で調査・実験を行いその内容が適切であれば追加得点とする．実習レポートは全て提出する必要がある。\n平常点評価:\n\n15％\n\n講義中に行う演習により評価する．\nその他:\n\n\n試験，レポート，平常点評価の割合は上記を基本とするが，履修者の理解度を踏まえ総合的に判断する．"
火,"1","電子回路","戸川　望","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012008012026260701201026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n試験を実施し，理解度を確認します．\nレポート:\n\n20％\n\n中間課題を課します．"
火,"4","情報数学Ｂ","石川　博","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012010012026260301201026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n第14回に理解度確認のための筆記試験を教室にて実施する。 \n平常点評価:\n\n20％\n\n第1回～第13回にWaseda Moodle上でオンライン小テストを実施する。"
金,"4","アルゴリズムとデータ構造Ｂ","清水　佳奈","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012012012026260301201226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n理解度確認試験など\nレポート:\n\n30％\n\n座学の課題，チーム作業のレポートなど\n平常点評価:\n\n10％\n\n平常点"
