曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"5","CG基礎","福里　司","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012003012026260601200326&pLng=jp","授業内の課題やレポートを基に評価を行う。"
火,"1","ビジュアルプログラミング","橋田　朋子","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012008012026260601200826&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n30％\n\n数回の中間課題を評価します。また最終課題の成果物を評価します。評価基準はデザイン・技術・コンセプトです。\n平常点評価:\n\n70％\n\n出席率と能動的に楽しく参加できたかを評価します。"
金,"3","音響学基礎","及川　靖広","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012012012026260601201226&pLng=jp","理解度確認での試験結果に基づいて評価します。その際、レポートおよび講義中に行う演習への取り組みを加点します。"
水,"3","認知科学基礎","渡邊　克巳","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012016012026260601201626&pLng=jp","＊授業への参加と理解度確認"
火,"4","キャリアデザインＡ","及川　靖広／尾形　哲也／河合　隆史／郡司　幸夫／ジャック　ジェームズ／土田　環／橋田　朋子／福里　司／森本　洋太／渡邊　克巳","",2,"spring",1,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012018012026260601201826&pLng=jp","40％　出席および授業への参加姿勢など。\n60％　各教員の研究紹介時に呈示する課題など。"
水,"5","表現構造論","郡司　幸夫","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012004012026260601200426&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n確認テストもレポートであり、全体を通して４〜５回のレポートを課す\n平常点評価:\n\n20％\n\n出席など"
火,"5","表現工学基礎（科学）","尾形　哲也／渡邊　克巳","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012006012026260601200626&pLng=jp","授業への参加と教場試験"
火,"1","表現工学基礎（芸術）","ジャック　ジェームズ／橋田　朋子","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012007012026260601200726&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n小リポート、写真、ドローイングなど\n\n平常点評価:\n\n20％\n\n出席、グループワーク、対話"
月,"4","音楽表現基礎","森本　洋太","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012011012026260601201126&pLng=jp","出席と課題への取組み：100%\n欠席は３回までそれ以上欠席した場合は、評価の対象外とします。"
金,"3","立体映像表現","河合　隆史","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012014012026260601201426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n30％\n\n講義パートの理解度に基づいて評価します。\nレポート:\n\n30％\n\n実習課題を通して得られた知見や考察について評価します。\n平常点評価:\n\n10％\n\n講義や実習への参加姿勢に基づいて評価します。\nその他:\n\n30％\n\n実習課題として各自が変換した立体映像を評価します。"
金,"4","ロボティクス表現デザイン","尾形　哲也","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012015012026260601201526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n理解度確認としてロボットハード，制御，評価法に関する筆記試験を実施する\nレポート:\n\n30％\n\n講義期間中出席確認としての短いコメント課題を課す"
水,"2","映像・映画構造論","土田　環","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012017012026260601201726&pLng=jp","出席・平常点：50％（授業期間中に、ある程度の本数の映画作品を劇場で各自鑑賞することも履修の条件とする。場合によって小レポートの提出を課す。）\n最終レポート：50％"
火,"4","キャリアデザインＢ","及川　靖広／尾形　哲也／河合　隆史／郡司　幸夫／ジャック　ジェームズ／土田　環／橋田　朋子／福里　司／森本　洋太／渡邊　克巳","",2,"fall",1,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606012019012026260601201926&pLng=jp","40％　出席および授業への参加姿勢など。\n60％　各自の学習計画プレゼンテーション。"
月,"2,3","インターメディア作曲I","森本　洋太","",2,"spring",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023012012026260602301226&pLng=jp","割合\n評価基準\n\n\nその他:\n\n100％\n\n作曲したオリジナル作品提出（欠席は認めない）"
火,"2","音楽プログラミングI","松田　周","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023014012026260602301426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n20％\n\n作品提出、試験\n平常点評価:\n\n80％\n\n授業内実習提出物など"
月,"5","Contemporary Art Theory （現代芸術理論）","ジャック　ジェームズ","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606022008012026260602200826&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n50％\n\nContemporary art theory writing focused on midterm, final and presentation.\n平常点評価:\n\n50％\n\nParticipation in class as well as weekly activities and assignments."
