曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"2","解析力学","山本　知之","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012002012026260501200226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n理解度確認試験を実施する。試験内容は授業内容全般とする。\nレポート:\n\n0％\n\n成績評価には入れない。\n平常点評価:\n\n20％\n\n毎回小テストを実施する。"
火,"3","電磁気学Ａ","川西　哲也","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012003012026260501200326&pLng=jp","筆記試験：70%\n平常点：30%\n与えられた課題を講義内容の視点と絡めて深く考察しているかどうかを評価する。"
木,"2","回路理論Ａ","出浦　桃子","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012004012026260501200426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n2回の理解度確認試験（教場試験）を行う（中間試験・期末試験，各40%）．\nレポート:\n\n0％\n\nなし．電子物理システム演習Aにて演習問題を解く．\n平常点評価:\n\n20％\n\n出席や課題の解答などにより評価する．\nその他:\n\n0％\n\nなし．"
木,"4,5","電子物理システム演習Ａ","稲垣　惠三／奥村　雅彦／蔭浦　泰資／川西　哲也／史　又華／出浦　桃子／山本　知之","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012006012026260501200626&pLng=jp","平常点　10％\nレポート　90％\nすべての演習に出席することを単位取得の前提とする。やむを得ない事情で欠席をする場合は、取りまとめ担当教員（史）に申し出ること。\nまた、すべての課題を提出しないと単位取得は認められないので注意すること。"
水,"2","情報数学","柳澤　政生","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012010012026260501201026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n14週目に試験を実施します。\nレポート:\n\n10％\n\n課題に対するレポートの明確さ、考察など\n平常点評価:\n\n20％\n\n出席状況（2/3以上の出席が必要）、ならびに、授業時間中に行う課題"
水,"3","論理回路","史　又華","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012011012026260501201126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n論理回路の基礎を理解しているか，ALU・CPUの構成要素と構造，動作について理解しているかを対面で実施する期末試験にて評価する．\nレポート:\n\n30％\n\n論理回路の設計を行えるか，正しい設計資料を記述できるかを，レポートにて評価する．\n平常点評価:\n\n10％\n\n授業中に教室で実施するミニ演習の理解度を評価する．"
月,"4","量子力学Ａ","内野　瞬","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012007012026260501200726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n2回の理解度確認試験によって採点する。\n平常点評価:\n\n30％\n\n講義内の演習（場合によってはオンラインの小テスト）の解答提出と内容によって評価する。"
火,"2","電磁気学Ｂ","小西　毅","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012008012026260501200826&pLng=jp","定期試験、出席、レポート、小テストにより総合的に評価する。"
月,"3","回路理論Ｂ","谷井　孝至","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012009012026260501200926&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n教場試験の点数\nレポート:\n\n0％\n\nレポート課題はないが、電子物理システム演習Bで対応する演習問題を与える。\n平常点評価:\n\n30％\n\n授業中に出席を兼ねた小問題を課し、その解答内容に応じて加点する。\nその他:\n\n0％\n\n特になし"
木,"4,5","電子物理システム演習B","奥村　雅彦／川村　一志／史　又華／進藤　隆彦／山本　欧","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012012012026260501201226&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n90％\n\n各回の課題に対するすべてのレポートの提出状況と内容から総合的に評価する。\n平常点評価:\n\n10％\n\n出席状況、演習への取り組み状況などから評価する。"
金,"3,4","電子物理システム実験A","内野　瞬／川西　哲也／川村　一志／小西　毅／史　又華／田中　大器／谷井　孝至／出浦　桃子／乗松　航／森本　雄矢／山本　知之／渡邉　孝信","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012013012026260501201326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験は実施しない。\nレポート:\n\n100％\n\nすべての実験を行い、すべての実験レポートを期日までに提出する必要がある。\n平常点評価:\n\n0％\n\n評価しない。\nその他:\n\n0％\n\n評価しない。"
火,"3","熱力学","山本　知之","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012014012026260501201426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n教場での理解度確認試験による。\n平常点評価:\n\n40％\n\n毎回出題するQUIZによって評価する。"
木,"2","電子デバイス","渡邉　孝信","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012015012026260501201526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n教場試験の結果を元に評価する。\n平常点評価:\n\n30％\n\n課題や授業への取り組みから総合的に評価する。"
