subject,credits,category,year,term,day,period,room,teacher,color,url
プログラミングA,3,専門必修,2,spring,Mon,3-4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012001012025260701200126&pLng=jp
情報数学A,2,専門必修,2,spring,Wed,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603012002012025260301200226&pLng=jp
回路理論,2,専門必修,2,spring,Mon,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012002012025260701200226&pLng=jp
論理回路,2,専門必修,2,spring,Tue,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012004012025260701200426&pLng=jp
アルゴリズムとデータ構造A,2,専門必修,2,spring,Thu,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607022002012025260301201126&pLng=jp
通信理論,2,専門必修,2,spring,Wed,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012008012025260701200826&pLng=jp
コンピュータアーキテクチャA,2,専門必修,2,fall,Mon,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012009012025260301200526&pLng=jp
電子回路,2,専門必修,2,fall,Tue,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012010012025260701201026&pLng=jp
情報通信実験A,2,専門必修,2,fall,Tue,3-4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607012011012025260701201126&pLng=jp
トラヒック理論,2,専門必修,3,spring,Fri,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013001012025260701300126&pLng=jp
情報通信ネットワークA,2,専門必修,3,spring,Wed,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013002012025260301200626&pLng=jp
オペレーティングシステムA,2,専門必修,3,spring,Wed,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013003012025260301300326&pLng=jp
離散数学,2,専門必修,3,spring,Tue,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013004012025260701300426&pLng=jp
ディジタル信号処理,2,専門必修,3,spring,Tue,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013005012025260701300526&pLng=jp
情報通信実験B,2,専門必修,3,spring,Wed,3-4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013006012025260701300626&pLng=jp
情報通信ネットワークB,2,専門必修,3,fall,Mon,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013007012025260701300726&pLng=jp
マルチメディア工学A,2,専門必修,3,fall,Tue,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013008012025260701300826&pLng=jp

確率・統計概論,2,専門選択,2,spring,Tue,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607022007012025260303200226&pLng=jp
アルゴリズムとデータ構造B,2,専門選択,2,fall,Fri,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607022005012025260702200526&pLng=jp
情報系の生命学,2,専門選択,2,fall,Wed,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607022006012025260303200426&pLng=jp
言語処理系,2,専門選択,3,spring,Fri,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607022003012025260302300626&pLng=jp
ソフトウェア工学A,2,専門選択,3,spring,Fri,2,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023004012025260301300226&pLng=jp
プログラミングB,2,専門選択,3,spring,Tue,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023005012025260702300526&pLng=jp
最適化アルゴリズム,2,専門選択,3,spring,Thu,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013010012025260701301026&pLng=jp
生命情報処理とICT,2,専門選択,3,spring,Mon,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023010012025260303301726&pLng=jp
無線通信技術,2,専門選択,3,spring,Mon,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023021012025260702302126&pLng=jp
IoTシステム設計,2,専門選択,3,spring,Thu,5-6,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023031012025260303403926&pLng=jp
人工知能,2,専門選択,3,spring,Tue,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023032012025260303404026&pLng=jp
グローバルビジネス世界における、サイバーセキュリティを考える,2,専門選択,3,spring,Mon,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607024034012025260303405026&pLng=jp
データマイニング,2,専門選択,3,spring,Thu,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607024012012025260303400626&pLng=jp
パターン認識と機械学習,2,専門選択,3,fall,Thu,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023001012025260702300126&pLng=jp
高性能計算,2,専門選択,3,fall,Fri,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023006012025260026001226&pLng=jp
マルチメディア工学B,2,専門選択,3,fall,Fri,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013009012025260701300926&pLng=jp
コンピュータアーキテクチャB,2,専門選択,3,fall,Wed,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023011012025260301300626&pLng=jp
情報理工・情報通信ラボ,2,専門選択,3,fall,Wed,1-2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607013011012025260701301126&pLng=jp
プログラミング言語,2,専門選択,3,fall,Tue,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023013012025260702301326&pLng=jp
データベース,2,専門選択,3,fall,Mon,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023014012025260702301426&pLng=jp
光通信技術,2,専門選択,3,fall,Wed,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023035012025260702303526&pLng=jp
次世代ネットワーク,2,専門選択,3,fall,Fri,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023023012025260702302326&pLng=jp
ディジタル放送技術,2,専門選択,3,fall,Mon,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2607023024012025260702302426&pLng=jp
コミュニケーション品質理論,2,専門選択,3,fall,Tue,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033029012025260702302726&pLng=jp
オペレーティングシステムB,2,専門選択,3,fall,Mon,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033020012025260303302026&pLng=jp
情報社会論,2,専門選択,3,fall,Thu,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032003012025260303200326&pLng=jp
モデリングとシミュレーション,2,専門選択,4,spring,Wed,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034034012025260702400226&pLng=jp
ネットワークサービスとビジネスモデル,2,専門選択,4,spring,Fri,5,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034035012025260702400326&pLng=jp
コンピュータグラフィクス,2,専門選択,4,spring,Mon,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034010012025260303401026&pLng=jp
自然言語処理,2,専門選択,4,spring,Fri,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034005012025260303400526&pLng=jp
画像情報特論,2,専門選択,4,spring,Fri,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034015012025260702401326&pLng=jp
