subject,credits,category,year,term,day,period,room,teacher,color
代数学序論,4,専門必修,2,"spring+fall",Tue,1,,
代数学A,4,専門必修,2,"spring+fall",Wed,5,,,
ベクトル空間と幾何,4,専門必修,2,"spring+fall",Tue,4,,,
多変数解析,4,専門必修,2,"spring+fall",Thu,2,,,
解析学入門,4,専門必修,2,"spring+fall",Tue,3,,,
位相入門,2,専門必修,2,spring,Mon,3,,,
現代数学演習,2,専門必修,2,fall,Fri,2,,,
関数論A,2,専門必修,2,fall,Wed,3,,,
数学講究A,2,専門必修,4,spring,,,,,
数学講究B,2,専門必修,4,fall,,,,,

測度論,4,選択必修,3,"spring+fall",Fri,3,,,
関数解析A,4,選択必修,3,"spring+fall",Tue,2,,,
関数論B,2,選択必修,3,spring,Fri,4,,,
数学基礎論A,2,選択必修,3,spring,Tue,3,,,
代数学B1,2,選択必修,3,spring,Fri,2,,,
代数学C1,2,選択必修,3,spring,Tue,2,,,
幾何学C1,2,選択必修,3,spring,Mon,4,,,
幾何学B1,2,選択必修,3,spring,Fri,1,,,
数学基礎論B,2,選択必修,3,fall,Tue,3,,,
代数学B2,2,選択必修,3,fall,Wed,1,,,
代数学C2,2,選択必修,3,fall,Tue,4,,,
幾何学B2,2,選択必修,3,fall,Fri,1,,,
幾何学C2,2,選択必修,3,fall,Mon,4,,,
物理数学,2,選択必修,3,fall,Wed,5,,,

計算機概論,2,専門選択,3,spring,Thu,1,,,
確率統計概論A,2,専門選択,3,spring,Mon,4,,,
保険数学,2,専門選択,3,fall,Thu,4,,,
数学特別演習,2,専門選択,3,fall,,,
数式処理プログラミング,2,専門選択,3,fall,Thu,1,,,
確率統計概論B,2,専門選択,3,fall,Tue,5,,,
代数学D1,2,専門選択,4,spring,Tue,3,,,
代数学E1,2,専門選択,4,spring,Wed,3,,,
幾何学D1,2,専門選択,4,spring,Mon,3,,,
幾何学D2,2,専門選択,4,spring,Tue,3,,,
幾何学E1,2,専門選択,4,spring,Wed,2,,,
関数論C,2,専門選択,4,spring,Fri,2,,,
応用数学A,2,専門選択,4,spring,Mon,2,,,
数学史,2,専門選択,4,spring,Wed,3,,,
応用トポロジー,2,専門選択,4,fall,Tue,4,,,
微分方程式1,2,専門選択,4,spring,Wed,5,,,
確率論A,2,専門選択,4,spring,Tue,4,,,
代数学D2,2,専門選択,4,fall,Mon,2,
代数学E2,2,専門選択,4,fall,Mon,1,
幾何学E2,2,専門選択,4,fall,Wed,2,
関数解析B,2,専門選択,4,spring,Fri,3,
上級解析,2,専門選択,4,fall,Fri,4,
応用数学B,2,専門選択,4,fall,Fri,1,
計画数学,2,専門選択,4,fall,Mon,3,
数学と文化史,2,専門選択,4,fall,Wed,3,
確率論B,2,専門選択,4,fall,Tue,4,,,

統線形代数（基幹）,2,基幹共通,2,spring,Fri,2,,,

応用数理概論,2,応用数理学科非共通(選択算入),2,"spring,fall",Fri,1,,,
常微分方程式入門,2,応用数理学科非共通(選択算入),2,spring,Mon,2,,,
応用数理演習A,2,応用数理学科非共通(選択算入),2,spring,Fri,4,,,
応用数理実験,1,応用数理学科非共通(選択算入),3,spring,Wed,3-4,,,
情報理論,2,応用数理学科非共通(選択算入),3,spring,Wed,2,,,
応用数理演習C,2,応用数理学科非共通(選択算入),3,spring,Tue,4,,,

ベクトル解析と幾何,2,応用数理学科非共通(選択算入),2,fall,Mon,3,,,
測度と積分入門,2,応用数理学科非共通(選択算入),2,fall,Fri,3,,,
フーリエ解析入門,2,応用数理学科非共通(選択算入),2,fall,Mon,2,,,

微分方程式と数理モデル,2,応用数理学科非共通(選択算入),3,spring,Mon,3,,,
コンピューティングの数理,2,応用数理学科非共通(選択算入),3,spring,Mon,1,,,
数値計算A,2,応用数理学科非共通(選択算入),3,spring,Fri,2,,,
関数解析入門,2,応用数理学科非共通(選択算入),3,fall,Wed,3,,,
数値計算B,2,応用数理学科非共通(選択算入),3,fall,Fri,4,,,

電磁気学,2,応用数理学科非共通(選択算入),3,spring,Thu,1,,,
計算機概論,2,応用数理学科非共通(選択算入),3,spring,Thu,1,,,
ビジネスと確率の数理,2,応用数理学科非共通(選択算入),3,spring,Fri,3,,,
離散数学入門,2,応用数理学科非共通(選択算入),3,spring,Sun,1,,,
応用代数学,2,応用数理学科非共通(選択算入),3,spring,Mon,2,,,
幾何学B1,2,応用数理学科非共通(選択算入),3,fall,Fri,1,,,
保険数理,2,応用数理学科非共通(選択算入),3,fall,Thu,4,,,
確率過程論,2,応用数理学科非共通(選択算入),3,spring,Thu,4,,,
数理物理,2,応用数理学科非共通(選択算入),3,fall,Wed,5,,,
熱・統計力学,2,応用数理学科非共通(選択算入),3,fall,Mon,3,,,
流体の数理,2,応用数理学科非共通(選択算入),3,fall,Thu,3,,,
量子力学の数理A,2,応用数理学科非共通(選択算入),3,fall,Mon,4,,,
データサイエンス基礎,2,応用数理学科非共通(選択算入),3,fall,Sun,1,,,
暗号とセキュリティの数理,2,応用数理学科非共通(選択算入),3,fall,Wed,1,,,
統計的推測論,2,応用数理学科非共通(選択算入),4,spring,Fri,2,,,
最適化の数理,2,応用数理学科非共通(選択算入),4,spring,Tue,3,,,
