曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"5","工学系の数理１","柳尾　朋洋／吉村　浩明","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012002012026260401200226&pLng=jp","理解度確認のために教場試験を行います．試験の成績とともに，授業中の演習課題の提出状況やその内容を含めて総合的に成績の評価をいたします．"
月,"4,5","材料の力学１","川田　宏之／権藤　詩織／細井　厚志／荒尾　与史彦","",2,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012003012026260401200326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n85％\n\n中間考査（40%）と期末試験（45%）による評価\nレポート:\n\n10％\n\n演習による評価\n平常点評価:\n\n5％\n\n出席点による評価\nその他:\n\n0％\n\n評価の対象とはしない"
月,"2","機械材料学","荒尾　与史彦／権藤　詩織／鈴木　進補／細井　厚志","",2,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012004012026260401200426&pLng=jp","・第14回の期末試験，小テスト，出席回数により成績評価 \n・各担当教員の項目に対し，回数に応じた重みづけをして総合評価する\n・期末試験と小テストはおおむね同等の重みづけをする．"
金,"3,4","熱力学１","内藤　健／齋藤　潔／佐藤　哲也／山口　誠一","",2,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012011012026260401201126&pLng=jp","小テスト、レポート、出席等を総合的に評価して決定する。"
火,"1,2","加工学・実習Ｆ　（Ａ組）","荒尾　与史彦／権藤　詩織／鈴木　進補／竹澤　晃弘","",2,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012016012026260401201626&pLng=jp","・第1２回～第1４回は、各講義で課題が出る予定です。詳細の指示は各講義で行います。\n・単位の認定は、実習のすべての項目を実習していること、および各講義での課題が所定の成績であることとします。\n・4年生以上は、この科目に不合格になると留年が確定します．追試等の措置は講じませんので留意してください．"
水,"1,2","加工学・実習Ｆ　（Ｂ組）","荒尾　与史彦／権藤　詩織／鈴木　進補／竹澤　晃弘","",2,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012016022026260401201626&pLng=jp","・第1２回～第1４回は、各講義で課題が出る予定です。詳細の指示は各講義で行います。\n・単位の認定は、実習のすべての項目を実習していること、および各講義での課題が所定の成績であることとします。\n・4年生以上は、この科目に不合格になると留年が確定します．追試等の措置は講じませんので留意してください．"
水,"3,4","機械製図法Ｆ","金井　晴詩／竹澤　晃弘／竹原　徹／日比野　正／宮崎　裕也","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012008012026260401200826&pLng=jp","全ての課題を提出し，合格したものに，単位を与える．"
水,"5","工学系の数理２","吉村　浩明","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012009012026260401200926&pLng=jp","理解度確認のための教場試験を行い，その成績とともに，授業中の演習課題の提出状況及びその内容を含めて総合的に評価します．"
月,"4","材料の力学２","荒尾　与史彦／川田　宏之／権藤　詩織／細井　厚志","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012012012026260401201226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n85％\n\n期末試験は必ず受験すること。合計で合格点に達していても、期末試験の点数が著しく低い場合は不合格となる場合がある。\nレポート:\n\n10％\n\n単元毎の演習を実施し，その評価を行う。\n平常点評価:\n\n5％\n\n出欠をとる。\nその他:\n\n0％\n\n特になし。"
金,"3","ダイナミクス","柳尾　朋洋／吉村　浩明","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012014012026260401201426&pLng=jp","理解度確認のための教場試験を行い，その成績とともに，授業中の演習課題の提出状況及びその内容を含めて総合的に評価します．"
火,"5","熱力学２","内藤　健／齋藤　潔／佐藤　哲也／山口　誠一","",2,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012017012026260401201726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n\n教場テストを主とする \nレポート:\n\n\n考慮する \n平常点評価:\n\n\n考慮する \nその他:\n\n\n考慮する"
金,"1,2","工学系の解析設計演習","齋藤　潔／山口　誠一／吉村　浩明","",3,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012006012026260401200626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n \nレポート:\n\n50％\n\n毎回実施する演習のレポートを期限内に提出する．"
水,"3,4","機械設計法Ｆ","金井　晴詩／竹澤　晃弘／竹原　徹／日比野　正／宮崎　裕也","",3,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012007012026260401200726&pLng=jp","全ての課題を提出し，合格したものに，単位を与える．"
月,"3,4","流体の力学１","太田　有／手塚　亜聖／藤澤　信道／宮川　和芳","",3,"spring",3,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604012010012026260401201026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n授業時間内に中間試験および期末試験を実施する予定である．受講者の理解度によっては試験の回数を変更したり，試験を実施しない場合もある．\nここに記載した70％という評価割合は，あくまでも現時点での予定であり，履修者の理解度によって，この割合を変更することもあります\nその他:\n\n30％\n\n毎週実施する演習問題レポートや宿題レポートおよび出席状況\n\n詳しい評価基準・評価方法は講義時間中に説明します"
火,"3,4","機械科学・航空宇宙実験1","荒尾　与史彦／太田　有／大橋　隆弘／川田　宏之／権藤　詩織／齋藤　潔／佐藤　哲也／鈴木　進補／手塚　亜聖／内藤　健／能見　基彦／藤澤　信道／細井　厚志／宮川　和芳／柳尾　朋洋／山口　誠一／山下　浩司／吉村　浩明","",3,"spring",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604013003012026260401300326&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n70％\n\n実験後に提出されたレポートの内容によって評価する\n平常点評価:\n\n30％\n\n実験への出席状況，遅刻，欠席状況，実験後の試問によって評価する"
月,"5","流体の力学２","太田　有／手塚　亜聖／藤澤　信道／宮川　和芳","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604013001012026260401300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n授業時間内に期末試験を実施する予定である．ただし，学生の理解度によっては，「リアルタイム演習」や「レポート提出」へ変更することもある．その場合には，成績評価方法や割合を，「授業への出席状況」，「演習結果」などに変更する場合もある．\nレポート:\n\n30％\n\n授業時間内に演習を行う場合や，課題としてレポートの提出を依頼する場合がある．"
火,"3,4","機械科学・航空宇宙実験2","荒尾　与史彦／太田　有／川田　宏之／権藤　詩織／齋藤　潔／佐藤　哲也／鈴木　進補／手塚　亜聖／内藤　健／能見　基彦／藤澤　信道／細井　厚志／宮川　和芳／柳尾　朋洋／山口　誠一／山下　浩司／吉村　浩明","",3,"fall",2,"専門必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604013004012026260401300426&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n詳細はガイダンス時に説明する．\n内容が不十分であるレポートや，不備，誤りがある場合には，再提出を要求する場合がある．\nまた，特に著しく内容が不備のレポートを提出した場合には，直ちに当該実験項目の成績を「不可」とする場合もあるので注意して欲しい．\n平常点評価:\n\n20％\n\n実験への出席状況，遅刻，欠席の状況によって評価する．"
月,"2","航空材料学","荒尾　与史彦／川田　宏之／権藤　詩織／鈴木　進補／細井　厚志","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604022001012026260402200126&pLng=jp","・第14回の期末試験，小テスト，出席回数により成績評価 \n・各担当教員の項目に対し，回数に応じた重みづけをして総合評価する\n・期末試験と小テストはおおむね同等の重みづけをする．"
水,"5","伝熱工学","天野　嘉春／齋藤　潔／山口　誠一","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023002012026260402300226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n通常試験期間中に行う試験によって"
